Val set other domain


     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.8486326709389687, Current params: {'LEARNING_RATE': 0.00852559179901118, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07508245450312336, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5846364460418594, 'DAMPENING': 0.08438964834413036, 'GAMMA': 0.3633020321942594, 'STEP_SIZE': 28}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 2.096997395157814, Current params: {'LEARNING_RATE': 0.0029463206223962427, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08749192522683255, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6419280201331203, 'DAMPENING': 0.043720982642224, 'GAMMA': 0.16319419045727146, 'STEP_SIZE': 36}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 2.1084551364183426, Current params: {'LEARNING_RATE': 0.006660473818158218, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09777507173054921, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.535012198437997, 'DAMPENING': 0.001867623263991286, 'GAMMA': 0.25851222476023816, 'STEP_SIZE': 50}
